period,name,value
2012.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2012.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2013.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2013.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2013.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2013.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2014.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2014.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2014.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2014.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2015.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2015.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2015.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2015.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"147,299,337"
2016.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"145,069,337"
2016.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"142,969,337"
2016.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"140,679,337"
2016.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"140,679,337"
2017.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"140,679,337"
2017.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"130,668,494"
2017.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"129,768,494"
2017.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"129,098,494"
2018.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"128,386,494"
2018.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"6,419,324,700"
2018.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"6,419,324,700"
2018.4, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"5,969,782,550"
2019.1, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"5,969,782,550"
2019.2, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"5,969,782,550"
2019.3, Ⅳ. 발행주식의 총수 (Ⅱ-Ⅲ),"5,969,782,550"
