date,close
2020.03.04,"57,400"
2020.03.03,"55,400"
2020.03.02,"55,000"
2020.02.28,"54,200"
2020.02.27,"55,900"
2020.02.26,"56,500"
2020.02.25,"57,900"
2020.02.24,"56,800"
2020.02.21,"59,200"
2020.02.20,"60,000"
2020.02.19,"60,200"
2020.02.18,"59,800"
2020.02.17,"61,500"
2020.02.14,"61,800"
2020.02.13,"60,700"
2020.02.12,"60,500"
2020.02.11,"59,900"
2020.02.10,"59,700"
2020.02.07,"60,400"
2020.02.06,"61,100"
2020.02.05,"59,500"
2020.02.04,"58,900"
2020.02.03,"57,200"
2020.01.31,"56,400"
2020.01.30,"57,200"
2020.01.29,"59,100"
2020.01.28,"58,800"
2020.01.23,"60,800"
2020.01.22,"62,300"
2020.01.21,"61,400"
2020.01.20,"62,400"
2020.01.17,"61,300"
2020.01.16,"60,700"
2020.01.15,"59,000"
2020.01.14,"60,000"
2020.01.13,"60,000"
2020.01.10,"59,500"
2020.01.09,"58,600"
2020.01.08,"56,800"
2020.01.07,"55,800"
2020.01.06,"55,500"
2020.01.03,"55,500"
2020.01.02,"55,200"
2019.12.30,"55,800"
2019.12.27,"56,500"
2019.12.26,"55,400"
2019.12.24,"55,000"
2019.12.23,"55,500"
2019.12.20,"56,000"
2019.12.19,"56,000"
2019.12.18,"56,300"
2019.12.17,"56,700"
2019.12.16,"54,700"
2019.12.13,"54,700"
2019.12.12,"53,300"
2019.12.11,"51,900"
2019.12.10,"51,500"
2019.12.09,"51,200"
2019.12.06,"50,400"
2019.12.05,"49,500"
2019.12.04,"49,450"
2019.12.03,"49,900"
2019.12.02,"50,400"
2019.11.29,"50,300"
2019.11.28,"51,300"
2019.11.27,"52,200"
2019.11.26,"51,800"
2019.11.25,"51,800"
2019.11.22,"51,600"
2019.11.21,"51,000"
2019.11.20,"52,000"
2019.11.19,"53,500"
2019.11.18,"53,500"
2019.11.15,"53,700"
2019.11.14,"52,800"
2019.11.13,"52,500"
2019.11.12,"52,600"
2019.11.11,"51,600"
2019.11.08,"52,100"
2019.11.07,"52,900"
2019.11.06,"53,300"
2019.11.05,"52,700"
2019.11.04,"52,300"
2019.11.01,"51,200"
2019.10.31,"50,400"
2019.10.30,"50,400"
2019.10.29,"51,100"
2019.10.28,"51,300"
2019.10.25,"50,900"
2019.10.24,"50,700"
2019.10.23,"51,200"
2019.10.22,"51,200"
2019.10.21,"50,300"
2019.10.18,"49,900"
2019.10.17,"50,500"
2019.10.16,"50,700"
2019.10.15,"50,100"
2019.10.14,"50,000"
2019.10.11,"49,150"
2019.10.10,"48,550"
2019.10.08,"48,900"
2019.10.07,"47,750"
2019.10.04,"48,000"
2019.10.02,"47,600"
2019.10.01,"48,850"
2019.09.30,"49,050"
2019.09.27,"48,400"
2019.09.26,"49,200"
2019.09.25,"48,900"
2019.09.24,"49,500"
2019.09.23,"49,300"
2019.09.20,"49,200"
2019.09.19,"49,150"
2019.09.18,"47,700"
2019.09.17,"46,900"
2019.09.16,"47,100"
2019.09.11,"47,150"
2019.09.10,"47,000"
2019.09.09,"46,900"
2019.09.06,"46,300"
2019.09.05,"45,700"
2019.09.04,"44,100"
2019.09.03,"43,250"
2019.09.02,"43,800"
2019.08.30,"44,000"
2019.08.29,"43,400"
2019.08.28,"44,150"
2019.08.27,"44,050"
2019.08.26,"43,600"
2019.08.23,"43,950"
2019.08.22,"44,050"
2019.08.21,"44,500"
2019.08.20,"44,450"
2019.08.19,"43,600"
2019.08.16,"43,900"
2019.08.14,"43,700"
2019.08.13,"43,000"
2019.08.12,"43,700"
2019.08.09,"43,150"
2019.08.08,"42,650"
2019.08.07,"43,200"
2019.08.06,"43,500"
2019.08.05,"43,950"
2019.08.02,"44,950"
2019.08.01,"45,200"
2019.07.31,"45,350"
2019.07.30,"46,550"
2019.07.29,"46,100"
2019.07.26,"47,150"
2019.07.25,"47,200"
2019.07.24,"46,400"
2019.07.23,"47,300"
2019.07.22,"47,200"
2019.07.19,"46,800"
2019.07.18,"46,100"
2019.07.17,"46,050"
2019.07.16,"46,850"
2019.07.15,"46,450"
2019.07.12,"46,300"
2019.07.11,"46,200"
2019.07.10,"45,550"
2019.07.09,"45,100"
2019.07.08,"44,400"
2019.07.05,"45,650"
2019.07.04,"46,000"
2019.07.03,"45,400"
2019.07.02,"46,250"
2019.07.01,"46,600"
2019.06.28,"47,000"
2019.06.27,"46,500"
2019.06.26,"45,700"
2019.06.25,"45,600"
2019.06.24,"45,500"
2019.06.21,"45,700"
2019.06.20,"45,500"
2019.06.19,"45,350"
2019.06.18,"44,350"
2019.06.17,"43,900"
2019.06.14,"44,000"
2019.06.13,"43,750"
2019.06.12,"44,600"
2019.06.11,"44,850"
2019.06.10,"44,800"
